file,line_number,original,replacement
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,54,"In Braze, navigate to **Currents > + Create Current > Create mParticle Export**. Provide an integration name,  contact email and the mParticle API key and mParticle secret key for each platform. Next, select the events you want to track; a list of available events is provided. Lastly, click **Launch Current**","In Braze, navigate to **Currents > + Create Current > Create mParticle Export**. Provide an integration name,  contact email and the mParticle API key and mParticle secret key for each platform. Next, select the events you want to track; a list of available events are provided. Lastly, click **Launch Current**"
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,59,"It's important to keep your mParticle API Key and mParticle Secret Key up to date; if your connector's credentials expire, the connector will stop sending events. If this persists for more than **5 days**, the connector's events is dropped and data is permanently lost.","It's important to keep your mParticle API Key and mParticle Secret Key up to date; if your connector's credentials expire, the connector will stop sending events. If this persists for more than **5 days**, the connector's events are dropped and data is permanently lost."
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,152,"| Enable event stream forwarding | (Server-to-server) When enabled, all events is forwarded in real-time. If not, all events is forwarded in bulk. When choosing to enable event stream forwarding, ensure that the data you are passing to Braze will respect [rate limits]({{site.baseurl}}/api/api_limits/). |","| Enable event stream forwarding | (Server-to-server) When enabled, all events are forwarded in real-time. If not, all events are forwarded in bulk. When choosing to enable event stream forwarding, ensure that the data you are passing to Braze will respect [rate limits]({{site.baseurl}}/api/api_limits/). |"
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,231,"| Purchase commerce event | Purchase event | Purchase commerce events is mapped to Braze purchase events. <br><br>Toggle the setting value for bundle commerce event data to log purchases at the order-level or product-level. For example, if `false`, a single incoming event with two unique products, promotions, or impressions would result in at least two outgoing Braze events. If set to `true`, it would result in a single outgoing event with a nested products, promotions or impressions array, respectively.<br><br>For more information on the additional commerce fields that is logged, see [mParticle's documentation](https://docs.mparticle.com/integrations/braze/event/#purchase-events). <br><br>When setting ""bundle commerce event data"" as `false` product attributes passed to Braze as purchase event properties, support string, numeric, boolean, or date objects but do not support arrays or nested objects.|","| Purchase commerce event | Purchase event | Purchase commerce events are mapped to Braze purchase events. <br><br>Toggle the setting value for bundle commerce event data to log purchases at the order-level or product-level. For example, if `false`, a single incoming event with two unique products, promotions, or impressions would result in at least two outgoing Braze events. If set to `true`, it would result in a single outgoing event with a nested products, promotions or impressions array, respectively.<br><br>For more information on the additional commerce fields that is logged, see [mParticle's documentation](https://docs.mparticle.com/integrations/braze/event/#purchase-events). <br><br>When setting ""bundle commerce event data"" as `false` product attributes passed to Braze as purchase event properties, support string, numeric, boolean, or date objects but do not support arrays or nested objects.|"
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,232,"| All other commerce events | Custom event | All other commerce events is mapped to custom events. <br><br>Toggle the setting value for bundle commerce event data to log purchases at the order-level or product-level. For example, if `false`, a single incoming event with two unique products, promotions, or impressions would result in at least two outgoing Braze events. If set to `true`, it would result in a single outgoing event with a nested products, promotions or impressions array, respectively.<br><br>In addition to certain default commerce values, product attributes is logged as Braze event properties. For more information on the additional commerce fields that is logged, see [mParticle's documentation](https://docs.mparticle.com/integrations/braze/event/#other-commerce-events)<br><br>When setting ""bundle commerce event data"" as `false` product attributes passed to Braze as event properties, support string, numeric, boolean, or date objects but do not support arrays or nested objects. |","| All other commerce events | Custom event | All other commerce events are mapped to custom events. <br><br>Toggle the setting value for bundle commerce event data to log purchases at the order-level or product-level. For example, if `false`, a single incoming event with two unique products, promotions, or impressions would result in at least two outgoing Braze events. If set to `true`, it would result in a single outgoing event with a nested products, promotions or impressions array, respectively.<br><br>In addition to certain default commerce values, product attributes are logged as Braze event properties. For more information on the additional commerce fields that is logged, see [mParticle's documentation](https://docs.mparticle.com/integrations/braze/event/#other-commerce-events)<br><br>When setting ""bundle commerce event data"" as `false` product attributes passed to Braze as event properties, support string, numeric, boolean, or date objects but do not support arrays or nested objects. |"
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,239,"- Due to the nature of when MPID is assigned, all users is assigned an `external_id` on session start.","- Due to the nature of when MPID is assigned, all users are assigned an `external_id` on session start."
_docs/_partners/data_and_analytics/analytics/contentsquare.md,51,"Once the integration is complete, Contentsquare custom events is available to use in your campaigns and Canvases. You can check which events are being sent to Braze from **Data Settings** > **Custom Events**.","Once the integration is complete, Contentsquare custom events are available to use in your campaigns and Canvases. You can check which events are being sent to Braze from **Data Settings** > **Custom Events**."
_docs/_partners/data_and_analytics/analytics/mixpanel.md,36,"In your Mixpanel dashboard, click into the **Project Settings** in either a new or existing project. Here you find the Mixpanel API secret and Mixpanel Token. These credentials is used in the next step to create your Currents connection. ","In your Mixpanel dashboard, click into the **Project Settings** in either a new or existing project. Here you find the Mixpanel API secret and Mixpanel Token. These credentials are used in the next step to create your Currents connection. "
_docs/_partners/data_and_analytics/analytics/mixpanel.md,40,"In Braze, navigate to **Currents > **+ Create Current** > **Create Mixpanel Export**. Provide an integration name, contact email, Mixpanel API secret, and Mixpanel token in the listed fields. Next, select the events you want to track; a list of available events is provided. Lastly, click **Launch Current**.","In Braze, navigate to **Currents > **+ Create Current** > **Create Mixpanel Export**. Provide an integration name, contact email, Mixpanel API secret, and Mixpanel token in the listed fields. Next, select the events you want to track; a list of available events are provided. Lastly, click **Launch Current**."
_docs/_partners/data_and_analytics/cloud_storage/microsoft_azure_blob_storage_for_currents.md,86,"It's important to keep your connection string up to date; if your connector's credentials expire, the connector will stop sending events. If this persists for more than **48 hours**, the connector's events is dropped, and data is permanently lost.","It's important to keep your connection string up to date; if your connector's credentials expire, the connector will stop sending events. If this persists for more than **48 hours**, the connector's events are dropped, and data is permanently lost."
_docs/_partners/data_and_analytics/cloud_storage/amazon_s3.md,140,"Keep your AWS access key ID and secret access key up to date. If your connector's credentials expire, the connector will stop sending events. If this persists for more than **5 days**, the connector's events is dropped, and data is permanently lost.","Keep your AWS access key ID and secret access key up to date. If your connector's credentials expire, the connector will stop sending events. If this persists for more than **5 days**, the connector's events are dropped, and data is permanently lost."
_docs/_partners/additional_channels_and_extensions/extensions/surveys/typeform.md,24,| Typeform account | A Typeform account with access to webhooks is required to take advantage of this partnership. |,| Typeform account | A Typeform account with access to webhooks are required to take advantage of this partnership. |
_docs/_partners/additional_channels_and_extensions/additional_channels/instant_chat/front.md,108,This custom event is the Data Transformation that writes to the user’s profile. Agent messages is saved as an event property on this event.,This custom event is the Data Transformation that writes to the user’s profile. Agent messages are saved as an event property on this event.
_docs/_partners/additional_channels_and_extensions/additional_channels/instant_chat/front.md,221,- SMS messages at Braze are charged per message segment. Understanding what defines a segment and how these messages is split is key in understanding how you are billed for messages. See more information in our [documentation]({{site.baseurl}}/user_guide/message_building_by_channel/sms_mms_rcs/segments/).,- SMS messages at Braze are charged per message segment. Understanding what defines a segment and how these messages are split is key in understanding how you are billed for messages. See more information in our [documentation]({{site.baseurl}}/user_guide/message_building_by_channel/sms_mms_rcs/segments/).
_docs/_partners/ecommerce/ordering_payments_subscription/revenuecat.md,145,"If you only provide one Braze REST API key to RevenueCat, only production events is sent. If you also want to send sandbox testing events, [create another Braze REST API key]({{site.baseurl}}/api/basics/#app-group-rest-api-keys) and add it to your Braze settings in RevenueCat.","If you only provide one Braze REST API key to RevenueCat, only production events are sent. If you also want to send sandbox testing events, [create another Braze REST API key]({{site.baseurl}}/api/basics/#app-group-rest-api-keys) and add it to your Braze settings in RevenueCat."
_docs/_partners/ecommerce/ordering_payments_subscription/stripe.md,24,| Stripe account | A Stripe account with access to webhooks is required to take advantage of this partnership. |,| Stripe account | A Stripe account with access to webhooks are required to take advantage of this partnership. |
_docs/_partners/ecommerce/ordering_payments_subscription/olo.md,23,| Olo account | An Olo account with access to webhooks is required to take advantage of this partnership. Set up webhook subscriptions via the [self-service webhooks tool](https://olosupport.zendesk.com/hc/en-us/articles/360061153692-Self-Service-Webhooks) within the Olo Dashboard. |,| Olo account | An Olo account with access to webhooks are required to take advantage of this partnership. Set up webhook subscriptions via the [self-service webhooks tool](https://olosupport.zendesk.com/hc/en-us/articles/360061153692-Self-Service-Webhooks) within the Olo Dashboard. |
_docs/_partners/ecommerce/analytics_workflow/peak.md,33,"The Peak solution customer intelligence utilizes a model to predict a range of forward-looking attributes based on customer behaviors and interactions. These attributes are stored within Peak and can be used to generate predictive segmentation, including a customer's probability of churning. The updating of these predictive attributes is based on a configurable cadence (daily or weekly).","The Peak solution customer intelligence utilizes a model to predict a range of forward-looking attributes based on customer behaviors and interactions. These attributes are stored within Peak and can be used to generate predictive segmentation, including a customer's probability of churning. The updating of these predictive attributes are based on a configurable cadence (daily or weekly)."
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,58,The following events is enabled by default in the standard integration.,The following events are enabled by default in the standard integration.
_docs/_partners/ecommerce/shopify/multiple_stores.md,65,"When a user profile is synced, the following fields is merged. For full details on merging behavior, refer to [Merge behavior]({{site.baseurl}}/api/endpoints/user_data/post_users_merge/#merge-behavior).","When a user profile is synced, the following fields are merged. For full details on merging behavior, refer to [Merge behavior]({{site.baseurl}}/api/endpoints/user_data/post_users_merge/#merge-behavior)."
_docs/_partners/ecommerce/shopify/multiple_stores.md,105,"When you connect more than one store, the following attributes is synced with the most recent state of the Shopify profile:","When you connect more than one store, the following attributes are synced with the most recent state of the Shopify profile:"
_docs/_partners/ecommerce/shopify/shopify_data_features.md,790,A known issue with Shopify's latest API version prevents the `shopify_last_order_name` user attribute from correctly populating. The impact on users is as follows:<br><br>,A known issue with Shopify's latest API version prevents the `shopify_last_order_name` user attribute from correctly populating. The impact on users are as follows:<br><br>
_docs/_partners/canvas_audience_sync/google_audience_sync.md,89,"After you have synced to Braze, the following consent attributes is available on your user profiles and for segmentation:","After you have synced to Braze, the following consent attributes are available on your user profiles and for segmentation:"
_docs/_partners/canvas_audience_sync/google_audience_sync.md,114,"If you have multiple apps in a single workspace, you can input any of your app IDs in the setup because mobile ad IDs for your users is the same across multiple apps. This is because both the Android GAID and iOS IDFA are universal ad identifiers on the device and are not app-specific. To sync mobile ad IDs for users from a specific app, you can use segment filters (""Last Used Specific App"" or Most Recent App Version"") to target these users.","If you have multiple apps in a single workspace, you can input any of your app IDs in the setup because mobile ad IDs for your users are the same across multiple apps. This is because both the Android GAID and iOS IDFA are universal ad identifiers on the device and are not app-specific. To sync mobile ad IDs for users from a specific app, you can use segment filters (""Last Used Specific App"" or Most Recent App Version"") to target these users."
_docs/_partners/message_orchestration/deeplinking/appsflyer/appsflyer.md,140,"Attribution data for Facebook and X (formerly Twitter) campaigns is not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze.","Attribution data for Facebook and X (formerly Twitter) campaigns are not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze."
_docs/_partners/message_orchestration/attribution/branch_for_attribution.md,104,"Attribution data for Facebook and X (formerly Twitter) campaigns is not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze.","Attribution data for Facebook and X (formerly Twitter) campaigns are not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze."
_docs/_partners/message_orchestration/attribution/airbridge.md,238,"Attribution data for Meta Business campaigns is not available through our partners. This media source does not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze.","Attribution data for Meta Business campaigns are not available through our partners. This media source does not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze."
_docs/_partners/message_orchestration/attribution/kochava.md,81,"Attribution data for Facebook and X (formerly Twitter) campaigns is not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze.","Attribution data for Facebook and X (formerly Twitter) campaigns are not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze."
_docs/_partners/message_orchestration/attribution/singular.md,91,"Attribution data for Facebook and X (formerly Twitter) campaigns is not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze.","Attribution data for Facebook and X (formerly Twitter) campaigns are not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze."
_docs/_partners/message_orchestration/attribution/adjust.md,105,"Attribution data for Facebook and X (formerly Twitter) campaigns is not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze.","Attribution data for Facebook and X (formerly Twitter) campaigns are not available through our partners. These media sources do not permit their partners to share attribution data with third parties and, therefore, our partners cannot send that data to Braze."
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink.md,74,    - Which fields is used as Segments,    - Which fields are used as Segments
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,13,Movable Ink is able to ingest behavioral events from Braze through their Customer Data API. The events is stored on the user profiles based on the unique user ID (UUID) that is passed to Movable Ink.,Movable Ink is able to ingest behavioral events from Braze through their Customer Data API. The events are stored on the user profiles based on the unique user ID (UUID) that is passed to Movable Ink.
_docs/_partners/message_personalization/dynamic_content/personalization_engines/dynamic_yield.md,75,This integration allows you to add personalized recommendation widgets and dynamic content powered by Dynamic Yield into your Braze email campaigns. Embedding these campaigns into Braze campaigns is done with a simple embed code that you paste into the Braze email editor.,This integration allows you to add personalized recommendation widgets and dynamic content powered by Dynamic Yield into your Braze email campaigns. Embedding these campaigns into Braze campaigns are done with a simple embed code that you paste into the Braze email editor.
